DEPARTAMENTO,HORA,MODALIDAD,FALLECIDOS,HERIDOS
LAMBAYEQUE,09:30,CHOQUE,0,1
LIMA,08:45,DESPISTE,0,0
JUNIN,17:50,DESPISTE,0,4
AREQUIPA,09:30,DESPISTE,0,0
CAJAMARCA,20:00,DESPISTE,0,0
LIMA,15:30,CHOQUE,0,1
LA LIBERTAD,11:00,CHOQUE,0,1
LIMA,02:00,DESPISTE,0,0
LIMA,19:00,ESPECIAL,0,0
AMAZONAS,10:30,DESPISTE,0,0
PUNO,12:30,DESPISTE,0,0
PUNO,12:30,DESPISTE,0,0
CUSCO,19:40,CHOQUE,0,14
LA LIBERTAD,10:20,CHOQUE,0,14
PUNO,13:55,CHOQUE,0,3
CUSCO,21:30,CHOQUE,0,1
PIURA,17:45,DESPISTE,0,1
HUANCAVELICA,16:45,DESPISTE,0,1
HUANUCO,10:00,CHOQUE,0,0
AREQUIPA,17:00,CHOQUE,0,4
ICA,07:00,DESPISTE,0,1
LIMA,10:50,DESPISTE,0,0
SAN MARTIN,23:10,CHOQUE,0,1
LA LIBERTAD,04:00,CHOQUE,0,1
JUNIN,10:45,DESPISTE,0,3
ANCASH,21:30,CHOQUE,0,0
HUANCAVELICA,10:00,DESPISTE,1,2
LAMBAYEQUE,22:45,ATROPELLO,0,1
LA LIBERTAD,14:00,CHOQUE,1,0
LIMA,06:00,CHOQUE,0,0
AREQUIPA,13:10,DESPISTE,0,0
LIMA,02:30,DESPISTE,0,0
AREQUIPA,13:20,DESPISTE,1,5
LIMA,03:10,DESPISTE,0,7
JUNIN,15:30,DESPISTE,0,0
PIURA,21:00,ATROPELLO,0,1
ICA,00:36,ATROPELLO,1,0
SAN MARTIN,13:45,DESPISTE,0,0
ICA,21:20,ATROPELLO,1,0
AREQUIPA,21:40,DESPISTE,0,0
JUNIN,07:40,DESPISTE,0,1
TACNA,06:36,DESPISTE,0,0
TACNA,10:25,DESPISTE,0,2
LIMA,23:50,CHOQUE,0,0
LIMA,06:45,CHOQUE,0,2
HUANCAVELICA,20:30,DESPISTE,0,0
ANCASH,04:30,DESPISTE,0,1
AYACUCHO,08:30,CHOQUE,0,0
TACNA,21:00,CHOQUE,0,0
JUNIN,19:30,ATROPELLO,0,1
AMAZONAS,06:10,DESPISTE,0,0
ANCASH,09:15,CHOQUE,0,0
ICA,02:40,ATROPELLO,0,1
ICA,02:30,ATROPELLO,0,1
MADRE DE DIOS,11:10,DESPISTE,0,0
ANCASH,11:40,DESPISTE,0,3
ANCASH,01:25,DESPISTE,0,4
ANCASH,07:00,DESPISTE,0,1
LAMBAYEQUE,00:00,CHOQUE,0,9
JUNIN,02:48,DESPISTE,0,1
JUNIN,10:50,CHOQUE,2,8
JUNIN,03:30,DESPISTE,0,1
AYACUCHO,19:00,DESPISTE,0,5
LIMA,07:00,DESPISTE,0,0
LIMA,04:30,ESPECIAL,0,2
CAJAMARCA,07:20,DESPISTE,0,0
LIMA,11:20,CHOQUE,0,0
AREQUIPA,02:00,DESPISTE,0,2
ICA,00:30,CHOQUE,0,5
ICA,10:45,DESPISTE,0,0
ANCASH,18:22,CHOQUE,1,2
HUANUCO,06:20,DESPISTE,0,0
LA LIBERTAD,18:15,ESPECIAL,0,0
ANCASH,20:25,DESPISTE,0,1
AREQUIPA,00:50,DESPISTE,0,0
AREQUIPA,03:00,DESPISTE,4,18
MOQUEGUA,07:15,CHOQUE,0,1
CAJAMARCA,16:00,DESPISTE,0,3
CAJAMARCA,13:10,DESPISTE,0,1
LIMA,19:00,CHOQUE,0,2
LORETO,16:30,CHOQUE,0,2
AREQUIPA,21:00,CHOQUE,0,0
AREQUIPA,06:00,CHOQUE,0,2
CUSCO,08:45,DESPISTE,0,0
TACNA,08:48,DESPISTE,0,0
LIMA,05:00,DESPISTE,0,0
LIMA,22:15,CHOQUE,0,3
LIMA,23:10,CHOQUE,0,0
AREQUIPA,22:45,CHOQUE,0,1
LIMA,14:10,DESPISTE,0,1
JUNIN,17:50,DESPISTE,0,0
PUNO,15:50,DESPISTE,0,0
PUNO,00:00,DESPISTE,0,1
MADRE DE DIOS,12:50,DESPISTE,0,1
ANCASH,21:30,CHOQUE,0,3
SAN MARTIN,01:40,CHOQUE,0,1
AREQUIPA,12:05,DESPISTE,0,0
PIURA,15:00,DESPISTE,3,16
LIMA,19:40,ESPECIAL,0,1
CAJAMARCA,17:35,DESPISTE,0,0
JUNIN,13:58,DESPISTE,0,1
LIMA,12:00,DESPISTE,1,0
LIMA,09:00,CHOQUE,0,1
JUNIN,06:40,DESPISTE,0,0
CAJAMARCA,00:10,DESPISTE,0,1
JUNIN,10:00,CHOQUE,0,1
JUNIN,17:50,DESPISTE,0,4
AREQUIPA,02:00,CHOQUE,0,5
AYACUCHO,12:30,DESPISTE,0,1
AMAZONAS,17:00,DESPISTE,0,0
ICA,20:30,CHOQUE,0,1
ICA,22:50,CHOQUE,0,0
LA LIBERTAD,14:50,CHOQUE,1,0
PUNO,11:30,CHOQUE,0,1
LIMA,18:30,DESPISTE,0,0
LIMA,10:30,CHOQUE,0,1
JUNIN,05:30,DESPISTE,0,0
JUNIN,19:30,DESPISTE,0,0
CUSCO,15:30,CHOQUE,0,3
LIMA,05:15,DESPISTE,0,0
LA LIBERTAD,21:00,CHOQUE,0,1
LAMBAYEQUE,17:30,DESPISTE,0,1
LIMA,06:00,CHOQUE,0,4
JUNIN,06:40,CHOQUE,0,0
PUNO,07:50,CHOQUE,0,0
ANCASH,22:15,CHOQUE,0,0
ANCASH,03:00,CHOQUE,0,0
LAMBAYEQUE,09:30,ATROPELLO,0,1
TACNA,10:15,ESPECIAL,0,5
TACNA,10:48,CHOQUE,0,1
JUNIN,05:40,CHOQUE,0,1
JUNIN,13:30,CHOQUE,0,5
AREQUIPA,19:00,DESPISTE,0,0
PUNO,05:50,DESPISTE,0,2
CAJAMARCA,12:45,DESPISTE,0,2
LIMA,15:00,CHOQUE,0,1
AREQUIPA,16:15,CHOQUE,0,0
LIMA,18:45,CHOQUE,0,2
LIMA,16:30,ATROPELLO,1,0
ANCASH,04:40,DESPISTE,0,0
UCAYALI,17:45,DESPISTE,0,5
AMAZONAS,13:40,CHOQUE,0,4
ANCASH,15:00,DESPISTE,0,1
ANCASH,13:15,DESPISTE,0,2
ANCASH,04:30,DESPISTE,0,0
ANCASH,14:55,DESPISTE,0,0
AREQUIPA,07:30,CHOQUE,0,0
PIURA,10:45,CHOQUE,0,0
CUSCO,16:40,DESPISTE,0,4
AREQUIPA,07:30,DESPISTE,0,0
JUNIN,14:55,DESPISTE,0,0
JUNIN,14:45,DESPISTE,0,0
LIMA,03:35,CHOQUE,0,1
LIMA,12:15,DESPISTE,0,0
LIMA,03:10,CHOQUE,0,1
LIMA,00:40,DESPISTE,0,4
